Critic Name,Review,Rating
Rick Bentley,"Too much caution keeps ""It Ends with Us"" from living up to its full potential.",3
tt stern-enzi,"A really interesting, multi-layered drama.",4
Leigh Paatsch,"Both its heart and head remain in the right place throughout. Worth a look, particularly if the book means something to you.",3
Diego Batlle,".... It ends up being a rather obvious, clumsy, and banal experience. [Full review in Spanish]",2.5
Laia Cabuli,While an adequate film with a good heart... its strange treatment of the most important themes and its fidelity to the original material makes the film feel somewhat superficial and fails to fully convince the average viewer. [Full review in Spanish],3
Robert Denerstein,"The same time, the movie's seductive slickness allows its seriousness to slide away too easily. So, I'll vacillate, as I think the movie does: It Ends with Us could have been better, but it also could have been a whole lot worse...",
Erik Childress,"Despite a very good performance by Blake Lively, the film is way too clean for its own good. Less in the depiction of domestic violence but in the smooth transition in which our heroine is able to leave it behind.",2.5
Barbara Goslawski,Trauma is not a plot device to dangle around in order to amp up the drama.,2
Dennis Schwartz,A glossy romantic sudser that's well-meaning but too breezy to be convincing.,4
Kayleigh Donaldson,"The roots of an honest story are here but misguided decisions smother them at every turn. A book this popular was never going to be allowed the benefits of a free-wheeling adaptation, regardless of how much it would have improved the narrative.",
Johanna Schneller,"Incredibly, Lively makes it all work. Beyond nailing Lily’s exact shade of auburn hair... she also conveys her luminousness and strength, and reminds you how pleasurable it can be to watch a romantic thriller.",
Rene Sanchez,"Blake Lively gives a moving performance in this inspiring story about the traumas we carry, and the power that each individual possesses to take control of their lives. [Full Review in Spanish]",3
Sara Michelle Fetters,It’s not often a motion picture makes me physically ill.,1
Rachel Wagner,It Ends with Us  is not for me. If it’s for you more power to you. I hope you enjoy it.,
Wendy Ide,"For a film that dips its Manolo-clad toe into the murky waters of domestic abuse, it’s unexpectedly aspirational, almost frothy in tone.",3
Brian Viner,"Anyway, it doesn’t really matter that It Ends With Us is cheesier than a wheel of Camembert and shallower than a toddler’s paddling pool because, you see, there’s a twist on its way.",3
Hannah Giorgis,"To young people who have become inured to the misery of modern life, there’s a seductive premise in these novels: Relentless suffering can give way to freedom if women want it badly enough. On-screen, performed by real people, it’s not as convincing.",
Brianna Zigler,"Naturally this all feels dishonest, cloying, and clumsy, as Baldoni’s directorial prowess can’t match that of a halfway decent HBO series.",2.5
Max Weiss,I appreciate the fact that this is ultimately a film—and book—about ending the cycle of violence.,
Kristen Maldonado,"Justin Baldoni directs a strong adaptation of the source material, being sensitive to the touchy subject matter and including full circle layers that add more meaning to moments in the film.",
Elsa Fernández-Santos,"In this sense, the film leaves nothing to the viewer's imagination, it fulfills its didactic and moralistic purpose, the issues become clear, and the famous circle breaks, even if it is surrounded by flowers. [Full review in Spanish]",
Michael Medved,"Blake Lively is convincing and impressive in this complex role, but even better is her co-star Justin Baldoni, who does a multi-dimensional job bringing to creepy and disturbing life a character who's simultaneously seductive and dangerous.",3
Candice McMillan,"There is an incontrovertible charm to this film, and, I hate to say it, this dissenter has cleanly cut out her piece of humble pie.",
Ayelet Dekel,"The film’s emotional trajectory is gripping, and Blake Lively delivers a luminous performance as Lily.",
John Nugent,"This is not a perfect film, but it handles the important stuff — abuse, trauma and recovery — unexpectedly well.",3
Manohla Dargis,"“It Ends With Us” is fitfully diverting, at times touching, often ridiculous and, at 2 hours and 10 minutes, almost offensively long.",
James Croot,"While some of the plotting is obvious and dialogue a touch too portentous, as a director, Baldoni brings the same raw edge of hand-held camerawork and naturalistic lighting that marked out his Five Feet Apart as a cut-above the usual teen weepie.",3.5
Sarah Vincent,"If you are a fan of Hoover’s novels, then this film is a must see. For moviegoers not in the know, it will be a horror show.",2.5
Emily Wheeler,"It Ends with Us offers both fun and a point, and while the blend isn’t smooth, it’s admirably ambitious.",
Brandon Lewis,"The film concludes by asserting that domestic violence is far more complicated than Hollywood has historically given it credit for being, and anyone can be a perpetrator or survivor. It’s a powerful statement that it doesn’t quite earn the right to make.",3
Jack Martin,"It is far from perfect, but It Ends with Us does offer enough solid substance to honour the heaviness of its source material in a film that, for all its flaws, takes the viewer on an effective emotional ride.",3
Keith Garlington,"Lively is the movie’s lifeblood. She gives a heartfelt performance that conveys both confidence and vulnerability while remaining authentic, even on the occasions when the material turns syrupy.",3
Roger Moore,Don't overthink it.,2.5
Troy Ribeiro,"The narrative is a carefully constructed emotional rollercoaster, designed to pull us into the orbit of its characters before shattering our hearts just as theirs break.",3
Steph Cozza,"Despite its over 2-hour runtime, It Ends With Us rushes through the plot, barely allowing enough time to process or feel Lily's trauma.",2.5
Caroline Siede,"As a cultural statement, It Ends With Us doesn’t quite get there. As a personal exploration of what it feels like to be caught up in a cycle of violence, however, it’s a much more powerful big-screen experience.",
Hope Madden,But nearly every issue the film addresses – such as the circumstances that make it difficult for women to leave abusive relationships – are raised and lowered with an efficient tidiness that betrays the story’s beginnings.,3
Richard Lawson,"A tearjerker that indulges in its red-meat drama, but then gives it the grace of shading and complexity -- and rare humanity.",
Katie Walsh,A bungled adaptation that is at once too close to its source and too far from it.,2
Andrea Chase,"After a surfeit of montages and Ms Blake contemplating Lily's journey through a veil of melancholy, it ends as predictably as it unfolded. Dull and stale though it may be, it does have the welcome virtue of being instantly forgettable.",2
Tom Gliatto,"[Lively] has a willowy vulnerability, an intriguing air of remote sadness and a soft, muffled voice that sounds as if she were speaking from within a pile of autumn leaves.",
Harry Guerin,"Although the biggest moments are present and well-acted, they play like 'next, next, next' instead of an engrossing final act.",2.5
Audrey Fox,"Between the flat acting, cheesy storytelling, and overall weird vibes, It Ends with Us is a cinematic failure on almost every front.",1.5
Tim Appelo,"The frothy romance comedy lands better than the dark parts about men’s scary tempers, but on the whole, it’s one of the year’s more satisfying films.",4
Stephanie Zacharek,"Flowers, their short-lived beauty notwithstanding, can often brighten even the bleakest day. In this movie, they're treated like something we don't deserve, a blessing closed up tight, instead of a thing worth living for.",
Richard Roeper,"Lively is tasked with carrying the full weight of the story in “It Ends With Us” and she’s up to the challenge, but this is an uneven and turtle-paced romantic drama that feels like a missed opportunity.",2.5
Nelson Acosta,"The controversial bestseller written by Colleen Hoover makes for good trashy material, but the underlines in the message, direction, and performance leave the movie in limbo territory.",2.5
Matt Rodriguez,"There are a few shining moments where the performances come alive, but the majority of the film feels like a cookie-cutter addition to the genre that is more focused on making checkmarks on a list than delivering something a little more nuanced.",2
Todd Jorgenson,... downplays moral complexity and meaningful character dynamics in favor or treating weighty issues with a soap-opera gloss.,
Jonathan W. Hickman,"The film’s flat, conventional structure lessens the impact of its vital message.",2.5
M.N. Miller,It Ends with Us is a film about domestic abuse that may be seen as overly idealistic. It is nonetheless meaningful in portraying the power of healing and moving forward because of the main character’s dormant and suddenly active power of resilience.,3.5
Alistair Harkness,"The film teases out a darker story involving domestic abuse, but as a director, Baldoni manages to deal with it sensitively while embracing the melodrama of it all.",3
Mick LaSalle,"Is this a soap opera? For a while, that seems to be the case. But be patient because It Ends With Us is something more substantial. Plus, until it gets there, it’s a good soap opera, and that counts for something.",3
Richard Brody,"The commitment to the story and characters is unmistakable, and Baldoni elicits performances of tautly focussed, high-relief earnestness...but what remains is a mechanism of thrilling power that's missing a touch of mere humanity.",
Frank Wilkins,"Bravely tackles difficult themes with sensitivity and depth, leaving audiences with a lasting impression of hope and the courage to rewrite one's own story.",3
Devesh Sharma,"Despite the film's reliance on familiar tropes and occasionally simplistic dialogue, Lively’s instinctive and heartfelt portrayal ensures that its themes of self-acceptance and love are delivered with genuine grace.",3
Sarah Ksiazek,"I went into it not expecting to be impressed by any means, but the film has the potential to resonate with its intended audience, and I have to admit that it touched my heart at moments.",3.5
Adam Graham,"The movie's heavy themes make it a bit weightier than a summer breeze, but ""It Ends With Us"" is the big screen equivalent of a beach read: It's light on the eyes, easy to digest and simple to walk away from once it's over.",3.5
Erick Estrada,While at times too bubble-wrapped to spare our comfort... the theme is well-broached. [Full review in Spanish],
Daniel Pemberton,"A baffling, overlong and tonally inconsistent exercise in tedium.",
Dulcie Pearce,"Ryle being written as a good guy gone bad feels dated, making this Hallmark version of domestic violence ill-equipped to deal with the weight of the subject.",2
Charlotte Simmons,"Anchored by a mighty Blake Lively, 'It Ends with Us' brings Colleen Hoover's story to smartly cinematic and tremendously touching life.",4
Manuel São Bento,"It Ends With Us tries to balance heavy drama and conventional romance with some difficulties, but it manages to offer a minimally thought-provoking reflection on generational trauma and relationship abuse.",3.5
Peter Travers,Fighting their way out of the flowery tearjerking in the film version of Colleen Hoover’s mega-bestseller are a movie and a stellar Blake Lively performance that both take measure of domestic violence and the women who get to decide when enough is enough.,
Dana Barbuto,"Once we enter the more intense second half, the film struggles to hold up its end. It never feels quite sad or suspenseful enough to meet the demands of its heavy subject matter.",3
Andrew Parker,"Although there are some good intentions to be found within the confused melodrama It Ends with Us, they’re lost in a sea of odd choices and mixed messaging.",2.5
Allison Rose,"Despite its flaws, It Ends With Us is a must-watch. Its portrayal of abuse, though less violent, evokes strong reactions from audiences.",3.5
Richard Crouse,"Abuse is a thorny, ugly subject, and nobody wants to see explicit representations of it on screen, but It Ends with Us, while well-meaning, simplifies the issue to the point of melodrama. Sincere melodrama, but melodrama none the less.",2
Maria Lattila,"It Ends With Us has a lot more substance than you’d think, even if it often lacks ambition.",3
Jim Schembri,That the film largely avoids any bombastic moralizing makes its message all the stronger and all the more moving.,3.5
Brittany Patrice Witherspoon,It Ends With Us is a mixed bag of great acting and good direction begging to escape its hazy narrative.,2.5
Linda and Al Lerner,"This film had a lot going for it, but becomes a tearjerker melodrama misfire. Starring the gorgeous Blake Lively, two attractive sexy men, up-scale settings and revealing high-end fashions, there’s inauthenticity about the characters and the main theme.",
Mark Dujsik,[T]he whole thing comes across as a cheesy romance that makes a misguided effort to do something far more serious by the end.,1.5
Sophie Terakes,"Though replete with ridiculous character names and incredibly cheesy dialogue, the film manages to successfully blend its rather unserious, flowery façade with its heavy subject matter.",4
Russ Simmons,"Lively is appealing and Justin Baldoni, who also plays one of Lively’s romantic partners, does passable work, but this well-meaning film version is a bit too contrived for full emotional impact.",3
Chris Knight,"The themes are powerful, and the acting — particularly Blake Lively in the staring role — is for the most part excellent.",4
Charles Koplinski,"Unfortunately, the slipshod screenplay, which relies on ridiculous circumstances to move the story along, lays a shaky narrative foundation that fails to treat the characters' problems with the weight they deserve.",2
Sean P. Means,Even when the story beats are at their most predictable — several shots are devoted to Lively’s Lily looking in a mirror and applying concealer to an injury to her face — Lively brings her enormous empathy to them.,2.5
Nell Minow,"As close as a filmed version of a novel can be to a book, scene by scene, line by line. The fans of the novel who were in the audience at the screening I saw thought this was just fine, and they sighed happily along.",4
Alex Bentley,"The serious message of It Ends With Us may not be fully served by its relatively muted storytelling, but Baldoni and Hall justify their approach in a series of small ways that add up a satisfying whole.",
Dan Scully,"For all its eyeroll-worthiness, it proves to be one of the more sensitive and progressive explorations of abuse I’ve seen on screen.",
Robert Kojder,"It Ends with Us does conclude with an emotional, believable exchange that needs to be heard by domestic abusers around the world. It’s a shame the rest of the film is outlandish and doesn’t cut nearly as deep",2
ymrhqtrz,"I normally don't take to reading IMDb reviews and when I do I rarely agree with them, with that being said I wholeheartedly agree with every review that is giving the film the same score as I am if not a tad bit lower. Having grown up in an abusive household, the film did hit pretty close to home. Ryle Kincaid (Jason Baldoni) gave a stellar performance which genuinely encapsulates how unpredictable an abuser can be and how manipulative an abuser can be in a dv (domestic violence) relationship. With that being said that's where the entire score for my review comes from; baldoni's performance and direction.Blake Lively (Lily Bloom) went ahead and gave us basically nothing. There were moments during her performance I thought she had something, and then she lost it as simple as that. It felt like we as the audience were there more so for her outfits and hair than we were for her performance. Reading up on articles that state people have noticed two different films mixed into one, I couldn't help but agree with that. Baldoni's direction was centered around portraying an accurate picture of dv, and actually showing us the viewers this depiction, whereas Blake's version of the movie (as per sources) comes in through her one dimensional performance, weird placement of music in scenes that didn't require the music and if they did the music was just off and again showing us her outfits and luscious hair.I sincerely hope that if there is a baldoni cut of this film that it gets the light of day as the film I watched just didn't quite do it for me.",3
yasmeenmihyar,"In a few words: great message, stunning visuals, and impressive videography. However, the plot feels one-dimensional, as does the character of Lily, who lacks the depth needed to make her truly relatable or memorable. Sure, we're shown her trauma and backstory, but it doesn't fully draw you in or create a genuine emotional connection. It feels like there's a disconnect, as if her struggles are presented more as a narrative requirement than as a lived experience, making it hard to truly immerse yourself in her journey.The narrative structure also falls flat at times, creating a sense of frustration as it hints at greater potential that it never fully explores.",3
ekdecarvalho,"Another actress should have been casted as Lily. A costume director was required to style Lily. Ryle was great. Lily's mother needed more space in the movie, as well as the story between young Lily and Atlas. Should have inserted more content from the book and presented the characters as the book. Lastly, should have been marketed properly. The story is about domestic violence, and viewers should have been informed as such. Some viewers were surprised during the movie and not in a good way. I want to see the director's version of the movie, since we were shown the producer's version. I hope they release it.",3
kristyp81,"They went soft on the DV ...too arty, and did not succeed in evoking the tension and stress like the book did. I read that book with my breath held in those scenes... the movie failed here.Axel's character development was dissapointing... his backstory and abuse not revealed.I understand leaving out the Ellen journals... she not too popular these days ... :)The two leads were not matched well... though the sister I enjoyed!.Run time was also too long! I wanted more intensity, fear and confrontation, and for it to begin much sooner.This was not the Lily I imagined, but Lively played the ditzy, rom-com , sex kitten lead well.",3
jaysonpajaronvistal,"""It Ends With Us,"" the first Colleen Hoover novel to be adapted for the big screen, tells the poignant and deeply emotional story of Lily Bloom. A woman who has managed to overcome a traumatic childhood and is now chasing her dreams in Boston, including opening her own business. Her life takes a dramatic turn when she meets Ryle Kincaid, a charming neurosurgeon. Their intense connection quickly blossoms into a passionate relationship. However, as Lily delves deeper into her relationship with Ryle, she begins to see troubling similarities to her parents' tumultuous relationship. The plot thickens when Lily's first love, Atlas Corrigan, reenters her life, forcing her to make challenging decisions about her future and her own strength.As a film reviewer who has not read the source material due to a personal vendetta against the author, I took it upon myself to evaluate the film on its own merits. So, if you're expecting a comparison to the book, you won't find that here. This review is purely based on the film itself and my personal impressions. Any remarks saying ""the book is better"" won't resonate with me.The film has three standout aspects: Blake Lively's performance, the soundtrack, and the cinematography. Firstly, Blake Lively's portrayal of Lily Bloom is commendable. She brings a sense of authenticity and depth to the character that is both endearing and convincing. Lively manages to capture the nuances of a woman who has endured trauma and abuse without resorting to melodrama. Her subtle expressions and mannerisms effectively convey Lily's complex emotional landscape, making her performance the film's strongest suit. Without resorting to melodrama, Lively's portrayal feels both raw and genuine, which is crucial for a character with such a disturbing background.Secondly, the soundtrack is a significant highlight. Featuring songs by Lana Del Rey and Ethel Cain, the music adds a layer of emotional depth to the narrative. The soundtrack is so compelling that it occasionally overshadows the dialogue, but this is a forgivable flaw. In many instances, the music is more engaging than the actual conversations between characters, it kinda sucks but it enhances the overall experience for audiences like me who enjoy pop music.Lastly, Justin Baldoni's direction and use of handheld camerawork add a raw, realistic edge to the film. The naturalistic lighting and intimate camera angles make the film feel more grounded and relatable, which is crucial for a story that deals with heavy themes like trauma and abuse.Despite these strengths, the film has several notable weaknesses that detract from its overall impact. The narrative devices used in the film are glaringly obvious, and the dialogues often come across as pretentious. This pretentiousness, at times, borders on the ridiculous, making it difficult to take the characters seriously. While the film aims to address important issues such as trauma and generational curses, the execution is far from seamless. The blend of these themes feels forced, and the film struggles to do justice to the weighty subject matter of the source material.One of the most evident issues is the film's runtime. At two hours, the film feels unnecessarily long and repetitive. The pacing is inconsistent, with a drawn-out opening sequence that takes up the first ten minutes, followed by a rushed progression through key points in Lily and Ryle's relationship. This hurried pace leaves little room for character development, making it hard for the audience to fully grasp Lily's trauma or the depth of her connection with Ryle. The lack of chemistry between the two leads further undermines the film's romantic subplot. The characterization is another weak point. The film barely allows the audience to process Lily's traumatic past before plunging her into a whirlwind romance with Ryle. This rushed approach makes their ""deep"" love for each other seem superficial and unconvincing. The reintroduction of Atlas Corrigan into Lily's life, while intended to create conflict, feels more like a plot device than a meaningful part of the story. After all, the film does revolve around the story of Lily, so it's understandable that all characters, aside from Lily, are just background characters with little to no impact on the film. The film could have benefited from being 30 minutes shorter. With its 2-hour runtime, it felt overly long and repetitive, often going in circles without adding much to the story.In conclusion, ""It Ends With Us"" is a film that falls short of its potential. While it has its redeeming qualities-primarily Blake Lively's performance, the soundtrack, and cinematography-it is ultimately a forgettable and predictable story. The film's length and pacing issues, combined with its pretentious dialogues and lack of character development, make it a shallow and, at times, boring experience. For those who have not read the book and are looking for a film that tackles heavy themes with emotional depth, ""It Ends With Us"" may still offer some emotional resonance. It has the potential to pull at the heartstrings and take the audience on an emotional rollercoaster. However, for viewers seeking substance and a more nuanced portrayal of trauma and relationships, the film is likely to disappoint.""It Ends With Us"" can be seen as part of the ""once beloved book turned into a film disaster"" club. It serves as a reminder that not all popular novels translate well to the big screen. While the film does honor the heaviness and relevance of the theme to some extent, it ultimately lacks the depth and coherence needed to make it a truly memorable cinematic experience.",0
junaide-35640,"Been waiting for the movie ever since the trailer came out. Also Have been reading a lot on the internet, how people, specifically the book readers, not liking the cast selection as they are older than what you could perceive from the book.After watching the movie i feel completely opposite. I think the cast was selected perfectly from movie point of view. Blake has done an amazing job and so did the others. The characters were imperfectly perfect. The songs in the movie made the moments more enjoyable. Overall it was amazing, a complete emotional ride. I thoroughly enjoyed it (there wasn't a single dull moment).Totally recommended.",4.5
alexisruttley,"This film was good but my god it could have been so much better, the messy hair weird clothes & style is a total miss for me the casting of Lilly in no way portrayed the book and really let down what could have been a an amazing movie such a shame. Justine plays a fantastic part with passion and young Lilly is absolutely outstanding she is everything I wanted her to be.Since the movie the press tour has really missed the message that should have been driven from this book this is a topic that has touched the lives of so many women and the light hearted buy this nail polish wear your florals is very disrespectful and at times hurtful to survivors & victims it's 2024 come on do better.",3
sirgarrykay,(No spoilers) I've of course heard of the book but had no idea what it was about and didn't even watch the trailer to be honest. I just know it's a good book from friends and I like Blake Lively and I had time to kill today. Wow. What a good movie. Like really good. It's shot very well. The cinematography reads like a book and it just flows so well. The acting is really good too. It wasn't cheesy or trying to be a book to movie adaptation. You ride the waves of emotions and root for these characters too. It makes me want to read the book now which I'll probably do! I went to a matinee showing and it was pretty full. I overheard someone say they enjoyed the second half better but I thought the beginning was strong too lol. Definitely watch! You find out why it's called It Ends With Us and it's a beautiful yet heartbreaking story.,4.5
sammiejane-84520,"Hello reader,
I read the book first, just a few weeks before seeing the film. Hands down, this is one of the best, if not the best, book-to-movie adaptation I have ever seen.Wonderful acting, lovely soundtrack, and it just slammed you in the face with emotion. As someone who loved the book, imo, it hit all the right notes and important scenes. Ignoring the book, this was just a great movie in it of itself; a touching film with an important story.While there were a few scenes that I wish had been included, the story flowed well and, unless you read the book, it tied together wonderfully and you didn't feel like you were missing anything.I watched this movie with my mom, who also read the book several years ago. It was a great way to spend the evening with her, and I loved hearing the other audience members going through the feels with us. All in all, great movie, great book.Now, I hope whoever read this has a great day/night and finds a lucky penny somewhere.",4.5
ryanpersaud-59415,"I was one of four dudes in the theatre watching this, having been taken by my wife. Honestly, I totally get the appeal of this movie. It tells a very compelling story with a meaningful message. It's actually a movie that had me wanting more, which is also part of the problem. For the positives, I think when this movie acts as a standard(ish) romantic drama, it works pretty well. As I mentioned before, I think it captures aspects of a very difficult subject really well; namely, confusion. It's hard not to be at least somewhat emotionally affected by this movie; it succeeds in doing this, at least in the moment. (Think of Saltburn)But..the movie falls flat on a couple of levels. I think one is tone. It bounces around between Lifestyle channel rom com to serious drama like a ping pong ball, and while that can work, I don't think it does here. Especially when these characters - Jenny Slate and Hasan Minhaj's - feels like parodies of comic relief in these movies.The film also spends way too much time on the romance, and not the relationships that would actually matter. We get frustratingly little of Lily's relationship with her Mom and Dad, and too much about a guy she liked back when she was 18. (Blake Lively). Isabella Ferrer looks EXACTLY like a young Lively and was really underutilized here. The sort of ""love triangle"" angle just fell flat for me as it genuinely felt as if the ""other man"" Atlas (terrible name), just sort of existed in the confines of Lily's attention. When she thinks about it or the plot needs him, he's there. Anytime else, he might as well not exist. It feels like his life was put on hold (and yet, he managed to open up a successful restaurant) ever since she left their small town.Speaking of Lively...man. Her acting range is so limited; this movie really could've used a more expressive and talented actress in this role to really drive the emotions home, and it's a bit of a shame they didn't. (There is some controversy regarding her and her husband, Ryan Reynolds' meddling with this film, but it doesn't really impact the story - let's just say, Deadpool & Wolverine had more to do with this film's marketing strategy than you'd think). Another thing I noticed, but normally would comment on, were the costumes. I actually whispered to my wife during the movie that ""Lily really loves crop tops, eh?"" because it's weird how many times we see this specific outfit in the movie. (Call it sexist, but a lot of women have commented on the costuming as well online, so it's not just me).I also feel like the way this movie is filmed makes it feel extremely small, despite the constant references to Boston. Movies that reference a place a lot should give you a SENSE of this place, but honestly, the world of this movie feels like it comprises of ten people. We get a couple of establishing shots here and there, but there's really no life to this world. Hell, not a single character interaction UNRELATED to the main plot that I can think of.Look, this movie seemed to be received well by my audience and myself. But I also heard a lot of people talk about what it's missing from Colleen Hoover's book, a lot of which sounded relevant. And, I can't help but say it feels like the case.",2.5
SokaPokaDoka,"It's a slow-paced romantic drama. The story was fine but not much happend. As the movie went by; I was kind of thinking «where is this going?» I found a lot of the plot to be driven forward by coincidences which I dont think is a quality sign.On the plus side, I didnt find the movie boring. It was emotionally engaging, sometimes more succesfull than other times. A lot of the characters were likeable with clear flaws and strengths. The movie was visually pleasing.I think the movie was well made but the phasing and the story will not be everyone's cup of tea. It relies heavily the characters and less on the bigger picture.",3
harishnj,"Colleen Hoover's beloved novel comes to life in a film that captures the raw emotion and complexity of its story. Lily's journey of love, loss, and self-discovery is a rollercoaster that will leave you both breathless and inspired.The performances are outstanding, drawing you into the characters' lives and making their struggles feel achingly real. The film doesn't shy away from difficult topics, handling them with sensitivity and grace. It's a testament to the strength of the human spirit, even in the face of unimaginable pain.While some might find the ending bittersweet, it's a fitting conclusion to Lily's story. It's a reminder that sometimes the greatest act of love is letting go.""It Ends With Us"" is a must-see for fans of the book and anyone who appreciates a powerful story about love, resilience, and finding your own voice.",4
litscamaxn-82616,"A woman should have directed this. I respected the movie's intent but felt as if it was directed from a checklist: Black eye..check. Pushed down stairs..check, etc, etc. I admit, I haven't read the book, which I hope was more complete in expressing the trauma and individual terror that domestic violence inflicts on its victims. But although this film focuses on this truly important issue, I feel it missed the mark. Maybe it's an accurate translation of the book, and it's surely important to see a depiction of the horrible reality that exists today for many women. But just to depict that it exists, isn't enough.",3.5
regulusarcturusblack,"I've watched a lot of movies before, and I have definitely written a review only like a few minutes before, but I felt as if I kind of went off the rails, and wanted to review just a little more. First off, the premise of the overall story is incredibly boring and unoriginal - it feels like something that a Tumblr user in 2013 with a reading age of 11 could have written easily. Whatever this movie is, is an insult to cinema.Promoting it as a cute little rom-com, telling people to ""wear their florals"" to start a trend that would never exist in the first place is frankly embarrassing. The cast was . . . Curious, especially Blake Lively (isn't she around 10 years older than the character itself?) who I didn't get much from at all. I didn't pay much attention to the movie because it completely missed the point of capturing my interest, and this was just another common miss from Colleen Hoover.To whoever might be reading this, please do not watch this movie - or, God forbid, read this author's books. (Post scriptum, she looks exactly what I thought she would look like. Take that as you will.)",0.5
marinamolina-54099,"This is one of my favorite books and it covered most important events from the book, without changing any of the story. If you've read the book, you'll love it. (shonda rimes could learn a few things here 😅)
If you haven't, open your mind for this romantic drama that carries an important message for woman all ages.I loved the photography, all scenes super beautiful, wardrobe was spot on, direction was incredible, specially when we see the events happening as if it was a simple mistake and then at the end the ""blindfold"" is taken and she remembers as it was.I was a bit skeptical about Justin baldoni as the bad guy but he totally convinced me. Loved every minute of it.",5
jennifer12090,"Lot of potential here but as someone who lived through A LOT of domestic violence situations, watching Hollywood make it artsy so mainstream audiences can ""handle it"" to me really misses the mark of helping people understand what it feels like. I really enjoyed what this film tried to do but do not feel like it translated well to the big screen. Sure they were attempting to show gaslighting and whatnot, but I think you, the audience should have felt more powerful emotional response to what you were witnessing. I think we needed to hear more of the pain vs the silent flashbacks. Perhaps this could of been a part 1 and part 2 where in part 1 we stay in lillys high school years and learn more about her unstable home life and get a chance to bond with the character. Just wanted more than the film gave. At least it's creating an important narrative that isn't option talked about. Its a start...",3
VioletViolette,"Just like her husband. They're forever Serena Van Der Woodsen and Van Wilder. They have zero range.That would be fine if this story wasn't a deep one that people were looking at for representation and care. What Baldoni was TRYING to achieve.The talking through her lips/teeth is her only way of being able to talk, no matter the character. Even in The Town, the Boston accent was there but she's still Serena, putting on an accent.Blake is a liability to any story being told as she takes you out of it completely.A mess. To go along with her awful promotion of this film.LETS ALL WEAR OUR FLORALS/ WOMEN ARE HYSTERICAL/ ABUSE DOESNT DEFINE YOU AND YOU CAN FORGET ABOUT IT.The most tone deaf celebrity in recent years, joining the likes of JLo.",0.5
